Gene,logFC,P.Value,adj.P.Val,HGNC,Entrez,description,Gene_clean
ENSG00000162992,1.49192358400472,5.26312234552053e-06,0.0022333182486158,NEUROD1,4760.0,neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762],ENSG00000162992
ENSG00000270800,2.58840906148418,8.31799740415065e-06,0.0034257916955976,RPS10-NUDT3,100529239.0,RPS10-NUDT3 readthrough [Source:HGNC Symbol;Acc:HGNC:49181],ENSG00000270800
ENSG00000260238,1.71793205002515,8.85492441955388e-06,0.0035427287613432,PMF1-BGLAP,100527963.0,PMF1-BGLAP readthrough [Source:HGNC Symbol;Acc:HGNC:42953],ENSG00000260238
ENSG00000099977,1.68740219697625,1.28504599178256e-05,0.0049984719508142,DDT,1652.0,D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732],ENSG00000099977
ENSG00000164600,1.81263528236765,1.73871977197355e-05,0.0065803494505258,NEUROD6,63974.0,neuronal differentiation 6 [Source:HGNC Symbol;Acc:HGNC:13804],ENSG00000164600
ENSG00000164082,0.519947310038051,1.94019077689485e-05,0.0071496030128575,GRM2,2912.0,glutamate metabotropic receptor 2 [Source:HGNC Symbol;Acc:HGNC:4594],ENSG00000164082
ENSG00000136535,2.11870233689947,2.52660325849546e-05,0.0089260066310337,TBR1,10716.0,T-box brain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11590],ENSG00000136535
ENSG00000166947,1.19008729589035,2.54974123574485e-05,0.0089260066310337,EPB42,2038.0,erythrocyte membrane protein band 4.2 [Source:HGNC Symbol;Acc:HGNC:3381],ENSG00000166947
ENSG00000125931,1.07097542856338,2.71386542820612e-05,0.0092688433149195,CITED1,4435.0,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1 [Source:HGNC Symbol;Acc:HGNC:1986],ENSG00000125931
ENSG00000141668,1.04949117633898,2.80661948165307e-05,0.0093574030003781,CBLN2,147381.0,cerebellin 2 precursor [Source:HGNC Symbol;Acc:HGNC:1544],ENSG00000141668
